 (108.630563259125+0.000000000000j)  (5.759743992988+0.000000000000j)
 (109.752122402191+0.000000000000j)  (5.759744939748+0.000000000000j)
 (111.105490207672+0.000000000000j)  (5.759740801014-0.000000000000j)
 (112.190711975098+0.000000000000j)  (5.759744151960-0.000000000000j)
 (113.362162113190+0.000000000000j)  (5.759743333876+0.000000000000j)
 (114.459560394287+0.000000000000j)  (5.759742899365-0.000000000000j)
 (115.643689870834+0.000000000000j)  (5.759743417066+0.000000000000j)
 (116.747255325317+0.000000000000j)  (5.759744309239-0.000000000000j)
 (117.951680660248+0.000000000000j)  (5.759740082285-0.000000000000j)
 (119.051331996918+0.000000000000j)  (5.759742325750+0.000000000000j)
 (120.130779504776+0.000000000000j)  (5.759741603229+0.000000000000j)
 (121.325359821320+0.000000000000j)  (5.759742488070-0.000000000000j)
 (122.457861423492+0.000000000000j)  (5.759743374170-0.000000000000j)
 (123.604842901230+0.000000000000j)  (5.759742135365+0.000000000000j)
 (124.712247610092+0.000000000000j)  (5.759742657902+0.000000000000j)
 (125.968706130981+0.000000000000j)  (5.759741919232-0.000000000000j)
 (127.064315080643+0.000000000000j)  (5.759741037686+0.000000000000j)
 (128.173980474472+0.000000000000j)  (5.759742043698+0.000000000000j)
 (129.351127624512+0.000000000000j)  (5.759741918124+0.000000000000j)
 (130.650383949280+0.000000000000j)  (5.759742191782-0.000000000000j)
 (131.748259544373+0.000000000000j)  (5.759742035845+0.000000000000j)
 (132.912984609604+0.000000000000j)  (5.759740917076+0.000000000000j)
 (134.052444458008+0.000000000000j)  (5.759742684371+0.000000000000j)
 (135.296257972717+0.000000000000j)  (5.759742804333+0.000000000000j)
 (136.560199499130+0.000000000000j)  (5.759742663784-0.000000000000j)
 (137.733573436737+0.000000000000j)  (5.759743044807+0.000000000000j)
 (138.902519941330+0.000000000000j)  (5.759742863792+0.000000000000j)
 (140.063609838486+0.000000000000j)  (5.759741407093-0.000000000000j)
 (141.358994960785+0.000000000000j)  (5.759742357300+0.000000000000j)
 (142.453018426895+0.000000000000j)  (5.759742307681+0.000000000000j)
 (143.715975999832+0.000000000000j)  (5.759742689762-0.000000000000j)
 (144.933210611343+0.000000000000j)  (5.759742653795+0.000000000000j)
 (146.215670347214+0.000000000000j)  (5.759742694927-0.000000000000j)
 (147.040810346603+0.000000000000j)  (5.759742694927-0.000000000000j)
 (147.871610164642+0.000000000000j)  (5.759742694927-0.000000000000j)
 (148.713712692261+0.000000000000j)  (5.759742694927+0.000000000000j)
 (149.558985471725+0.000000000000j)  (5.759742694927-0.000000000000j)
 (150.490279436111+0.000000000000j)  (5.759742694927+0.000000000000j)
 (151.316682100296+0.000000000000j)  (5.759742694927+0.000000000000j)
 (152.115940093994+0.000000000000j)  (5.759742694927+0.000000000000j)
 (152.933464765549+0.000000000000j)  (5.759742694927-0.000000000000j)
 (153.755032300949+0.000000000000j)  (5.759742694927-0.000000000000j)
 (154.570632457733+0.000000000000j)  (5.759742694927-0.000000000000j)
 (155.465970516205+0.000000000000j)  (5.759742694927+0.000000000000j)
 (156.295698165894+0.000000000000j)  (5.759742694927-0.000000000000j)
 (157.090204715729+0.000000000000j)  (5.759742694927+0.000000000000j)
 (157.896451473236+0.000000000000j)  (5.759742694927-0.000000000000j)
 (158.694903850555+0.000000000000j)  (5.759742694927+0.000000000000j)
 (159.492913484573+0.000000000000j)  (5.759742694927-0.000000000000j)
 (160.335422277451+0.000000000000j)  (5.759742694927+0.000000000000j)
 (161.187249422073+0.000000000000j)  (5.759742694927-0.000000000000j)
 (161.983371496201+0.000000000000j)  (5.759742694927+0.000000000000j)
 (162.782387971878+0.000000000000j)  (5.759742694927+0.000000000000j)
 (163.592519044876+0.000000000000j)  (5.759742694927+0.000000000000j)
 (164.400526762009+0.000000000000j)  (5.759742694927+0.000000000000j)
 (165.200466871262+0.000000000000j)  (5.759742694927+0.000000000000j)
 (166.092415809631+0.000000000000j)  (5.759742694926-0.000000000000j)
 (166.890439987183+0.000000000000j)  (5.759742694927+0.000000000000j)
 (167.686188459396+0.000000000000j)  (5.759742694927+0.000000000000j)
 (168.496635913849+0.000000000000j)  (5.759742694927-0.000000000000j)
 (169.306041479111+0.000000000000j)  (5.759742694927+0.000000000000j)
 (170.104795932770+0.000000000000j)  (5.759742694927+0.000000000000j)
 (170.999882459641+0.000000000000j)  (5.759742694927-0.000000000000j)
 (171.794703245163+0.000000000000j)  (5.759742694927-0.000000000000j)
 (172.594557762146+0.000000000000j)  (5.759742694927-0.000000000000j)
 (173.387996912003+0.000000000000j)  (5.759742694927+0.000000000000j)
 (174.187521696091+0.000000000000j)  (5.759742694927-0.000000000000j)
 (174.985612392426+0.000000000000j)  (5.759742694927-0.000000000000j)
 (175.906574249268+0.000000000000j)  (5.759742694927+0.000000000000j)
 (176.740519046783+0.000000000000j)  (5.759742694927+0.000000000000j)
 (177.537655830383+0.000000000000j)  (5.759742694927-0.000000000000j)
